,OBJECTID,YEAR_,STATE,AGENCY,CAUSE,C_METHOD,OBJECTIVE,GIS_ACRES,DECADES,Shape__Area,Shape__Length
19975,41568,2017.0,CA,3.0,14,1.0,1.0,0.006446013,2010.0,37.703125,24.9013738120348
19976,41569,2017.0,CA,3.0,14,1.0,1.0,0.04850181,2010.0,282.5,75.3595791908498
19977,41570,2017.0,CA,3.0,14,1.0,1.0,5.443711,2010.0,31842.3515625,856.657371108901
19978,41571,2017.0,CA,3.0,14,1.0,1.0,0.02271913,2010.0,132.9609375,53.0695330447129
19979,41572,2017.0,CA,3.0,8,1.0,1.0,0.1167619,2010.0,681.02734375,151.357575440706
19980,41573,2017.0,CA,3.0,14,1.0,1.0,11.08747,2010.0,65024.59375,1196.02839727343
19981,41574,2017.0,CA,3.0,14,4.0,1.0,0.02014686,2010.0,118.58203125,42.7532645759039
19982,41575,2017.0,CA,3.0,14,1.0,1.0,0.01499808,2010.0,87.80859375,39.9520066534687
19983,41576,2017.0,CA,3.0,9,7.0,1.0,2661.415,2010.0,15659865.921875,37891.5495399627
19984,41577,2017.0,CA,3.0,5,7.0,1.0,9198.028,2010.0,54071908.875,56494.6997950555
19985,41578,2017.0,CA,3.0,14,1.0,1.0,28.24179,2010.0,166515.1875,3076.05486505449
19986,41579,2017.0,CA,3.0,14,1.0,1.0,0.08686703,2010.0,509.8046875,185.270236078712
19987,41580,2017.0,CA,3.0,14,1.0,1.0,0.07130744,2010.0,415.22265625,104.906264299895
19988,41581,2017.0,CA,3.0,14,1.0,1.0,0.258453,2010.0,1509.265625,169.942283340797
19989,41582,2017.0,CA,3.0,14,1.0,1.0,0.1501368,2010.0,878.79296875,192.212414941944
19990,41583,2017.0,CA,3.0,14,1.0,1.0,0.002960623,2010.0,17.33984375,16.5709603697051
19991,41584,2017.0,CA,3.0,14,1.0,1.0,0.5389289,2010.0,3159.30078125,265.791635356242
19992,41585,2017.0,CA,3.0,14,1.0,1.0,4.446725,2010.0,26199.51953125,793.279259176882
19993,41586,2017.0,CA,3.0,14,1.0,1.0,0.009493228,2010.0,55.49609375,43.384472841162
19994,41587,2017.0,CA,3.0,14,1.0,1.0,0.001356887,2010.0,7.93359375,13.3867071561042
19995,41588,2017.0,CA,2.0,14,1.0,1.0,27.64261,2010.0,185693.953125,2608.12931473906
19996,41589,2017.0,CA,2.0,14,8.0,1.0,10.14809,2010.0,68420.71484375,1205.54852813413
19997,41590,2017.0,CA,2.0,11,1.0,1.0,13.89821,2010.0,93814.5,1711.56600776192
19998,41591,2017.0,CA,2.0,7,1.0,1.0,37.16428,2010.0,250806.515625,7795.23655353394
19999,41592,2017.0,CA,2.0,3,1.0,1.0,11.93284,2010.0,79875.9765625,1178.82289707463
20000,41593,2017.0,CA,2.0,2,1.0,1.0,11.73705,2010.0,79223.9609375,1445.08729376019
20001,41594,2017.0,CA,2.0,10,1.0,1.0,10.82112,2010.0,73353.40234375,1198.97497928279
20002,41595,2017.0,CA,2.0,14,1.0,1.0,50.08102,2010.0,336781.85546875,3857.43187127272
20003,41596,2017.0,CA,2.0,14,1.0,1.0,12.87781,2010.0,86044.265625,1861.65427411581
20004,41597,2017.0,CA,2.0,14,1.0,1.0,10.00226,2010.0,66924.734375,1124.52620121957
20005,41598,2017.0,CA,2.0,14,1.0,1.0,392.4852,2010.0,2659898.47265625,8450.76365203413
20006,41599,2017.0,CA,2.0,14,1.0,1.0,13.68829,2010.0,92282.4375,2297.65318327736
20007,41600,2017.0,CA,2.0,14,1.0,1.0,11.55905,2010.0,78026.51171875,1371.10581754762
20008,41601,2017.0,CA,2.0,2,1.0,1.0,7.34516,2010.0,49306.55078125,1081.51821784215
20009,41602,2017.0,CA,2.0,14,1.0,1.0,29.1444,2010.0,195797.41796875,1985.51480704191
20010,41603,2017.0,CA,2.0,11,1.0,1.0,867.0196,2010.0,5842856.8203125,11979.7567772258
20011,41604,2017.0,CA,2.0,10,1.0,1.0,37.28971,2010.0,250737.2578125,2951.56054181701
20012,41605,2017.0,CA,2.0,9,1.0,1.0,10.77169,2010.0,72550.94140625,1419.27222947938
20013,41606,2017.0,CA,2.0,14,7.0,1.0,75.53836,2010.0,509705.78515625,7009.97361111123
20014,41607,2017.0,CA,2.0,10,1.0,1.0,19.13759,2010.0,128650.73046875,2426.35997277075
20015,41608,2017.0,CA,2.0,14,7.0,1.0,820.6441,2010.0,5544523.4453125,17146.2105075156
20016,41609,2017.0,CA,2.0,2,1.0,1.0,12.40011,2010.0,83397.23046875,1136.14106793648
20017,41610,2017.0,CA,2.0,14,1.0,1.0,22.50286,2010.0,128601.9296875,2222.13936743511
20018,41611,2017.0,CA,2.0,9,1.0,1.0,13.92714,2010.0,79948.48046875,1436.81909977848
20019,41612,2017.0,CA,2.0,9,1.0,1.0,27.39173,2010.0,158690.265625,2784.64362061006
20020,41613,2017.0,CA,2.0,10,1.0,1.0,15.96021,2010.0,92933.41796875,2255.1932646904
20021,41614,2017.0,CA,2.0,10,1.0,1.0,65.18426,2010.0,377943.3046875,3041.19937109674
